Date,Description,Debit,Credit
2026-05-01,ACME CORP PAYROLL SALARY,,5200.00
2026-05-02,RENT PAYMENT LEASE,1800.00,
2026-05-03,WOOLWORTHS GROCERIES,86.40,
2026-05-05,SHELL FUEL PETROL,62.10,
2026-05-06,NETFLIX SUBSCRIPTION,15.99,
2026-05-06,SPOTIFY PREMIUM,11.99,
2026-05-09,UBER TRIP,18.50,
2026-05-12,CHECKERS GROCERIES,103.22,
2026-05-15,RESTAURANT DINNER,54.75,
2026-05-17,FREELANCE INVOICE PAYMENT,,640.00
2026-05-19,PHARMACY HEALTH,42.30,
2026-05-21,CINEMA TICKETS,28.00,
2026-05-24,PICK N PAY GROCERIES,91.15,
2026-05-28,TRANSFER TO SAVINGS,500.00,
